Number;Subsystem;Description;Designation;Supply Temp;Target Temp;Flow heat capacity;HTC;Stream cost
;;;;T_in;T_out;f;htc;_cost
;;;;K;K;kW/K;kW/m2-K;$/kW-y
1;Process A;N;Hot;358.15;318.15;156.3;0.05;0
2;Process A;N;Hot;393.15;313.15;50;0.05;0
3;Process A;N;Hot;398.15;308.15;23.9;0.05;0
4;Process A;N;Hot;329.15;319.15;1250;0.05;0
5;Process A;N;Hot;363.15;358.15;1200;0.05;0
6;Process A;N;Hot;498.15;348.15;50;0.05;0
1;Process A;N;Cold;313.15;328.15;466.7;0.05;0
2;Process A;N;Cold;328.15;338.15;600;0.05;0
3;Process A;N;Cold;338.15;438.15;180;0.05;0
4;Process A;N;Cold;283.15;443.15;81.3;0.05;0
1;Utility;HPS;Hot Utility;473.15;471.15;0;0.05;100
1;Utility;CW;Cold Utility;288.15;293.15;0;0.05;15
;;;;;;;;
Number;Subsystem;Description;Designation;HX unit cost;HX area coefficient;HX area exponent;;
;;;;unit_cost;_coeff;A_exp;;
;;;;$/y;$/m2-y;;;
1;Process A;Process-process HX;Exchange;8000;60;1;;
1;Utility;Process-heater HX;Heating;8000;60;1;;
1;Utility;Process-cooler HX;Cooling;8000;60;1;;
