Number;Subsystem;Description;Designation;Supply Temp;Target Temp;Flow heat capacity;HTC;Stream cost
;;;;T_in;T_out;f;htc;_cost
;;;;K;K;kW/K;kW/m2-K;$/kW-y
1;Process A;N;Hot;849.15;710.15;23.1;0.06;0
2;Process A;N;Hot;872.15;672.15;15.22;0.06;0
3;Process A;N;Hot;803.15;655.15;15.15;0.06;0
4;Process A;N;Hot;722.15;510.15;14.76;0.06;0
5;Process A;N;Hot;641.15;450.15;10.7;0.06;0
6;Process A;N;Hot;394.15;387.15;149.6;1;0
7;Process A;N;Hot;475.15;458.15;258.2;1;0
8;Process A;N;Hot;458.15;386.15;8.38;1;0
9;Process A;N;Hot;413.15;393.15;59.89;1;0
10;Process A;N;Hot;342.15;339.15;165.79;1;0
11;Process A;N;Hot;393.15;341.15;8.74;1;0
12;Process A;N;Hot;340.15;308.15;7.62;1;0
13;Process A;N;Hot;1307.65;849.15;21.3;0.06;0
1;Process A;N;Cold;396.15;616.15;10.61;0.06;0
2;Process A;N;Cold;293.15;429.15;6.65;1.2;0
3;Process A;N;Cold;429.15;430.15;3291;2;0
4;Process A;N;Cold;293.15;455.15;26.63;1.2;0
5;Process A;N;Cold;455.15;591.15;31.19;1.2;0
6;Process A;N;Cold;591.15;593.15;4011.83;2;0
7;Process A;N;Cold;595.15;1196.93;17.6;0.06;0
1;Utility;HPS;Hot Utility;1200.15;1200.15;0;5;250
1;Utility;CW;Cold Utility;282.15;290.15;0;1;25
;;;;;;;;
Number;Subsystem;Description;Designation;HX unit cost;HX area coefficient;HX area exponent;;
;;;;unit_cost;_coeff;A_exp;;
;;;;$/y;$/m2-y;;;
1;Process A;Process-process HX;Exchange;4000;500;0.83;;
1;Utility;Process-heater HX;Heating;4000;500;0.83;;
1;Utility;Process-cooler HX;Cooling;4000;500;0.83;;
